Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.3218174536248691
100% Corpus,2,0.01,0.31,0.3981019081444644
100% Corpus,2,0.01,0.61,0.35178609063671024
100% Corpus,2,0.01,0.9099999999999999,0.46612074507357093
100% Corpus,2,0.01,symmetric,0.29559564861388343
100% Corpus,2,0.31,0.01,0.3131177276832687
100% Corpus,2,0.31,0.31,0.40217137731974406
100% Corpus,2,0.31,0.61,0.47637650042855084
100% Corpus,2,0.31,0.9099999999999999,0.48040266023993167
100% Corpus,2,0.31,symmetric,0.3834495564266667
100% Corpus,2,0.61,0.01,0.3476292258800226
100% Corpus,2,0.61,0.31,0.36640880253052943
100% Corpus,2,0.61,0.61,0.36622813786814773
100% Corpus,2,0.61,0.9099999999999999,0.4338888702815876
100% Corpus,2,0.61,symmetric,0.3563791706164014
100% Corpus,2,0.9099999999999999,0.01,0.3568858715904929
100% Corpus,2,0.9099999999999999,0.31,0.34418760632330536
100% Corpus,2,0.9099999999999999,0.61,0.39328007619641014
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.41094539026687144
100% Corpus,2,0.9099999999999999,symmetric,0.3492358245369798
100% Corpus,2,symmetric,0.01,0.3282216065458725
100% Corpus,2,symmetric,0.31,0.46754639266380904
100% Corpus,2,symmetric,0.61,0.37930933374347364
100% Corpus,2,symmetric,0.9099999999999999,0.4000518572179951
100% Corpus,2,symmetric,symmetric,0.3555238169084461
100% Corpus,2,asymmetric,0.01,0.3528642145390183
100% Corpus,2,asymmetric,0.31,0.49926727369897417
100% Corpus,2,asymmetric,0.61,0.46251740174960465
100% Corpus,2,asymmetric,0.9099999999999999,0.577750248950488
100% Corpus,2,asymmetric,symmetric,0.3556681462764339
100% Corpus,3,0.01,0.01,0.3218174536248691
100% Corpus,3,0.01,0.31,0.3981019081444644
100% Corpus,3,0.01,0.61,0.35178609063671024
100% Corpus,3,0.01,0.9099999999999999,0.46612074507357093
100% Corpus,3,0.01,symmetric,0.29559564861388343
100% Corpus,3,0.31,0.01,0.3131177276832687
100% Corpus,3,0.31,0.31,0.40217137731974406
100% Corpus,3,0.31,0.61,0.47637650042855084
100% Corpus,3,0.31,0.9099999999999999,0.48040266023993167
100% Corpus,3,0.31,symmetric,0.3834495564266667
100% Corpus,3,0.61,0.01,0.3476292258800226
100% Corpus,3,0.61,0.31,0.36640880253052943
100% Corpus,3,0.61,0.61,0.36622813786814773
100% Corpus,3,0.61,0.9099999999999999,0.4338888702815876
100% Corpus,3,0.61,symmetric,0.3563791706164014
100% Corpus,3,0.9099999999999999,0.01,0.3568858715904929
100% Corpus,3,0.9099999999999999,0.31,0.34418760632330536
100% Corpus,3,0.9099999999999999,0.61,0.39328007619641014
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.41094539026687144
100% Corpus,3,0.9099999999999999,symmetric,0.3492358245369798
100% Corpus,3,symmetric,0.01,0.3282216065458725
100% Corpus,3,symmetric,0.31,0.46754639266380904
100% Corpus,3,symmetric,0.61,0.37930933374347364
100% Corpus,3,symmetric,0.9099999999999999,0.4000518572179951
100% Corpus,3,symmetric,symmetric,0.3555238169084461
100% Corpus,3,asymmetric,0.01,0.3528642145390183
100% Corpus,3,asymmetric,0.31,0.49926727369897417
100% Corpus,3,asymmetric,0.61,0.46251740174960465
100% Corpus,3,asymmetric,0.9099999999999999,0.577750248950488
100% Corpus,3,asymmetric,symmetric,0.3556681462764339
100% Corpus,4,0.01,0.01,0.3218174536248691
100% Corpus,4,0.01,0.31,0.3981019081444644
100% Corpus,4,0.01,0.61,0.35178609063671024
100% Corpus,4,0.01,0.9099999999999999,0.46612074507357093
100% Corpus,4,0.01,symmetric,0.29559564861388343
100% Corpus,4,0.31,0.01,0.3131177276832687
100% Corpus,4,0.31,0.31,0.40217137731974406
100% Corpus,4,0.31,0.61,0.47637650042855084
100% Corpus,4,0.31,0.9099999999999999,0.48040266023993167
100% Corpus,4,0.31,symmetric,0.3834495564266667
100% Corpus,4,0.61,0.01,0.3476292258800226
100% Corpus,4,0.61,0.31,0.36640880253052943
100% Corpus,4,0.61,0.61,0.36622813786814773
100% Corpus,4,0.61,0.9099999999999999,0.4338888702815876
100% Corpus,4,0.61,symmetric,0.3563791706164014
100% Corpus,4,0.9099999999999999,0.01,0.3568858715904929
100% Corpus,4,0.9099999999999999,0.31,0.34418760632330536
100% Corpus,4,0.9099999999999999,0.61,0.39328007619641014
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.41094539026687144
100% Corpus,4,0.9099999999999999,symmetric,0.3492358245369798
100% Corpus,4,symmetric,0.01,0.3282216065458725
100% Corpus,4,symmetric,0.31,0.46754639266380904
100% Corpus,4,symmetric,0.61,0.37930933374347364
100% Corpus,4,symmetric,0.9099999999999999,0.4000518572179951
100% Corpus,4,symmetric,symmetric,0.3555238169084461
100% Corpus,4,asymmetric,0.01,0.3528642145390183
100% Corpus,4,asymmetric,0.31,0.49926727369897417
100% Corpus,4,asymmetric,0.61,0.46251740174960465
100% Corpus,4,asymmetric,0.9099999999999999,0.577750248950488
100% Corpus,4,asymmetric,symmetric,0.3556681462764339
